ORD,Site,TempSite,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,,,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
646,CU-AZ-46,,CU,AZ,46,CU-AZ-046,0,,,,,,,,,2177.8,473,2310,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Settlement & Agri,,700,2.5,,,,,,,,FALSE,,,L,,,,,,,,25,13,25,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,473,2177800,473000,3184
647,CU-AZ-47,,CU,AZ,47,CU-AZ-047,0,,,,,,,,,2177.25,473,2279,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Settlement & Agri,,700,0.7,,,,,,,,FALSE,,,M,,,,,,,,35,18,35,,AD,,Hamlet,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,,2177,473,2177250,473000,3185
648,CU-AZ-48,,CU,AZ,48,CU-AZ-048,0,,,,,,,,,2177.55,473,2279,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Agricultural,,700,0.5,,,,,,,,FALSE,,,LM,,,,,,,,13,5,13,,AD,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2178,473,2177550,473000,3186
649,CU-AZ-49,,CU,AZ,49,CU-AZ-049,0,,,,,,,,,2177.06,474,2268,0,0,0,,Deep Soil Alluvium,Shallow,,,,Slight,,,,,,,Settlement & Agri,,700,2.5,,,,,,,,FALSE,,,L,,,,,,,,25,13,25,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,,2177,474,2177060,474000,3187
650,CU-AZ-50,,CU,AZ,50,CU-AZ-050,0,,,,,,,,,2177.34,474,2265,0,0,0,,Deep Soil Alluvium,Deep,,,,None,,,,,,,Agricultural,,700,0.2,1,,,,,625,,FALSE,,,VL,L,,,,,,,2,1,2,,HC,,Small Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,,2177,474,2177340,474000,3188
651,CU-AZ-51,,CU,AZ,51,CU-AZ-051,0,,,,,,,,,2177.95,474,2280,0,0,0,,Lower Piedmont,Deep,,,,Slight,,,,,,,Settlement & Agri,,700,0.7,,,,,,,,FALSE,,,LM,,,,,,,,18,7,18,,AD,,Small Hamlet,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,4,,2178,474,2177950,474000,3189
652,CU-AZ-52,,CU,AZ,52,CU-AZ-052,0,,,,,,,,,2178.89,474,2318,0,0,0,,Lower Piedmont,Medium,,,,None,,,,,,,Settlement & Agri,,700,21,,,,,,,,FALSE,,,L,LM,,,,,,,285,130,285,,AD,,Sm Disp Village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,474,2178890,474000,3190
653,CU-AZ-53,,CU,AZ,53,CU-AZ-053,0,,,,,,,,,2178.22,473,2288,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Agricultural,,700,0.5,,,,,,,,FALSE,,,LM,,,,,,,,13,5,13,,AD,,Small Hamlet,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,,2178,473,2178220,473000,3191
654,CU-AZ-54,,CU,AZ,54,CU-AZ-054,0,,,,,,,,,2178.79,473,2318,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Slight,,,,,,,Agricultural,,700,6,,,,,,,,FALSE,,,L,LM,,,,,,,75,35,75,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,473,2178790,473000,3192
655,CU-AZ-55,,CU,AZ,55,CU-AZ-055,0,,,,,,,,,2179.34,473,2365,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Moderate,,,,,,,Agricultural,,700,3,,,,,,,,FALSE,,,L,,,,,,,,30,15,30,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,2179,473,2179340,473000,3193
