Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CH-LT-72,CH,LT,72,CH-LT-072,901072,,Amecameca,Late Toltec,72-1,Mary Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.29,507.75,2300,2300,0,0,14,"Lower piedmont, Rugged Terrain",Medium-deep,,Medium,Deep (100+ cm),Slight,Slight,,,,,,Agricultural,None or Unspecified,740,0.1,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2123,508,2123290,507750,502
CH-LT-73,CH,LT,73,CH-LT-073,901073,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.21,507.05,2300,2300,0,0,14,"Lower piedmont, Rugged Terrain",Shallow-medium,,Shallow (1-25 cm),Medium,Moderate,Moderate,,,,,,Agricultural,None or Unspecified,750,1.4,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,,20,10,20,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2123,507,2123210,507050,503
CH-LT-74,CH,LT,74,CH-LT-074,901074,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.26,505.05,2260,2260,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,,,,Grazing,None or Unspecified,775,4.9,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,100,50,100,,AD,6,Large hamlet,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2123,505,2123260,505050,504
CH-LT-75,CH,LT,75,CH-LT-075,901075,,Chalco,Late Toltec,72-1,Robert Wenke,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2128.88,504.78,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,675,0.7,0,0,0,0,0,,,FALSE,,,LM,,,,,,,,20,10,20,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2129,505,2128880,504780,505
CH-LT-76,CH,LT,76,CH-LT-076,901076,,Chalco,Late Toltec,72-1,Robert Wenke,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2127.71,505.15,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,675,0.8,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,3,0,0,0,0,0,0,,0,0,0,2,1,1,1,3,,2128,505,2127710,505150,506
CH-LT-77,CH,LT,77,CH-LT-077,901077,,Chalco,Late Toltec,72-1,Robert Wenke,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2128.46,504.25,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,675,0.4,0,0,0,0,0,,,FALSE,,,LM,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2128,504,2128460,504250,507
CH-LT-78,CH,LT,78,CH-LT-078,901078,,Chalco,Late Toltec,72-1,Robert Wenke,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2127.88,503.93,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,680,0.4,0,0,0,0,0,,,FALSE,,,LM,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,3,,2128,504,2127880,503930,508
CH-LT-79,CH,LT,79,CH-LT-079,901079,,Chalco,Late Toltec,72-1,Robert Wenke,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2127.94,503.43,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,680,0.8,0,0,0,0,0,,,FALSE,,Trace,L,,,,,,,Substantial,10,5,10,,AD,2,Small hamlet or temporary camp,,2,0,0,0,0,0,0,,0,0,0,1,0,1,1,3,,2128,503,2127940,503430,509
CH-LT-80,CH,LT,80,CH-LT-080,901080,,Chalco,Late Toltec,72-1,Robert Wenke,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2127.49,503.14,2240,2240,0,0,4,"Lakebed, Freshwater",Deep (100+ cm),Deep (100+ cm),,,None,None,,,,,,Agricultural,None or Unspecified,680,8.5,3,0,3,3,3,2400,,FALSE,,Trace,L,,,,,,,,100,50,100,,AD,6,Large hamlet,,1,0,0,0,0,0,0,,0,0,0,1,1,0,1,3,,2127,503,2127490,503140,511
CH-LT-81,CH,LT,81,CH-LT-081,901081,,Chalco,Late Toltec,72-1,Jeffrey Parsons,"Chalco, Mixquic, Juchitepec Ozalid (1:25000)",2123.44,501.8,2280,2280,0,0,14,"Lower piedmont, Rugged Terrain",Medium,Medium,,,Moderate,Moderate,,,,,,Agricultural,None or Unspecified,760,2.1,0,0,0,0,0,,,FALSE,,,L,LM,,,,,,,30,15,30,,AD,6,Large hamlet,,,0,0,0,1,0,0,,0,0,0,0,0,0,1,3,,2123,502,2123440,501800,512
