Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
CU-CL-47,CU,CL,47,CU-CL-047,0,,,,,,,2162.13,492,2280,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,"Graz, Agri, & Set",,620,2.5,,,,,,,,FALSE,,,M,,,,,,,,125,63,125,AD,AD,,Sm Nucl Village,0,0,0,2,0,1,0,1,1,1,1,1,0,1,1,0,2,,2162,492,2162130,492000,2203
CU-CL-48,CU,CL,48,CU-CL-048,0,,,,,,,2161.38,492,2290,0,0,0,,Lower Piedmont,Shallow,,,,Deep,,,,,,,"Graz, Agri, & Set",,620,1.8,,,,,,,,FALSE,,,M,,,,,,,,90,45,90,AD,AD,,Hamlet,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2,,2161,492,2161380,492000,2204
CU-CL-49,CU,CL,49,CU-CL-049,0,,,,,,,2160.61,494,2245,0,0,0,,Deep Soil Alluvium,Shallow-Medium,,,,Very Slight,,,,,,,Settlement & Agri,,610,0.8,,,,,,,,FALSE,,,LM,,,,,,,,20,8,20,AD,AD,,Small Hamlet,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,0,2,,2161,494,2160610,494000,2205
CU-CL-50,CU,CL,50,CU-CL-050,0,,,,,,,2159.72,493,2238,0,0,0,,Saline Lakeshore Plain,Deep,,,,None,,,,,,,Settlement,,610,3,,,,,,,,FALSE,,,M,,,,,,,,150,75,150,AD,AD,,Sm Nucl Village,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,2,,2160,493,2159720,493000,2206
CU-CL-51,CU,CL,51,CU-CL-051,0,,,,,,,2158.42,490,2275,0,0,0,,Lower Piedmont,Shallow-Medium,,,,Moderate-Deep,,,,,,,Grazing,,620,4,,,,,,,,FALSE,,,LM,,,,,,,,100,40,100,AD,AD,,Hamlet,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,2,,2158,490,2158420,490000,2207
CU-CL-52,CU,CL,52,CU-CL-052,0,,,,,,,2158.97,489,2275,0,0,0,,Lower Piedmont,Shallow,,,,Moderate,,,,,,,Grazing,,630,0.1,,,,,,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,2,,2159,489,2158970,489000,2208
CU-EF-1,CU,EF,1,CU-EF-001,0,Loma Torremote,,,,,,2174.55,477,2270,0,0,0,,Lower Piedmont,Deep,,,,Very Slight,,,,,,,Settlement,,690,2,0,0,0,0,0,,,FALSE,,,,,,,,,,,19,,19,O,AD,,Small Hamlet,0,0,0,2,2,1,0,1,1,1,1,1,0,0,1,0,1,,2175,477,2174550,477000,2053
CU-EF-2,CU,EF,2,CU-EF-002,0,,,,,,,2166.93,494,2310,0,0,0,,Lower Piedmont,Medium-Deep,,,,Moderate,,,,,,,Settlement & Agri,,620,0.5,0,0,0,0,0,,,FALSE,,,VL,,,,,,,,,,,NA,AD,,Questionable,0,0,0,2,2,1,0,0,0,0,1,1,0,1,1,0,1,,2167,494,2166930,494000,2066
CU-ET-1,CU,ET,1,CU-ET-001,0,,,,,,,2177.73,469,2320,0,0,0,,Lower Piedmont,Deep,,,,None,,,,,,,Agricultural,,800,1,,,,,,,,FALSE,,,VL,L,,,,,,,5,2,5,,AD,,Small Hamlet,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,,2178,469,2177730,469000,2707
CU-ET-2,CU,ET,2,CU-ET-002,0,,,,,,,2176.1,472,2300,0,0,0,,Lower Piedmont,Shallow-Medium,,,,None,,,,,,,Settlement & Agri,,740,4.5,,,,,,,,FALSE,,,L,LM,,,,,,,45,23,45,,AD,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,,2176,472,2176100,472000,2708
