Site,Region,SitePeriod,SiteNum,NameSort,SiteCode,SiteName,FieldSite Region,FieldSite Period,SurveyYearNumber,Supervisor,Map,North,East,Elev,ElevMed,ElevMin,ElevMax,EZcode,EnvironmentalZone,Soil,SoilMed,SoilMin,SoilMax,Erosion,ErosionMed,ErosionMin,ErosionMax,OtherSiteAggreg,SpatialDiff,VisibFactors,ModernUse,ModernSettlement,Rainfall,Area,MoundDomestic,MoundCeremonial,MoundQuestionable,MoundTotal,MoundRecorded,DMoundArea,VagueMounding,Architecture,TerraceConfidence,TerraceExtent,Sherd1,Sherd2,Sherd3,Sherd4,RubbleSite,WallBases,Walls,Rubble,Population,PopMin,PopMax,RevPopMethod,PopMethod,stcode,SiteType,SubPeriod1,SubPeriod2,OccEF,OccMF,OccLF,OccTF,OccCL,OccEC,OccMC,OccLC,OccET,OccLT,OccAZ,OccEA,OccLA,OccTot,Group,Comments,NorthOld,EastOld,NorthGIS,EastGIS,Recnum
TE-AZ-48,TE,AZ,48,TE-AZ-048,0,,,,,,,2188.02,517,2470,0,0,0,,Middle Piedmont,Very Shallow,,,,Deep,,,,,,,Grazing & Agri,,530,3.5,0,,,,,,,FALSE,,,,,,,,,,,42,0,0,,HC,,Hamlet,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,4,,2188,517,2188020,517000,3677
TE-AZ-49,TE,AZ,49,TE-AZ-049,0,,,,,,,2186.68,517,2555,0,0,0,,Upper Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,Settlement,,530,5.2,12,,,,,,,TRUE,,,,,,,,,,,105,0,0,,HC,,Sm Disp Village,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,,2187,517,2186680,517000,3678
TE-AZ-50,TE,AZ,50,TE-AZ-050,0,,,,,,,2186.42,517,2565,0,0,0,,Upper Piedmont,Shallow,,,,Moderate-Deep,,,,,,,Grazing & Agri,,530,4.7,4,,,,,693,,FALSE,,,,,,,,,,,70,0,0,,HC,,Hamlet,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,4,,2186,517,2186420,517000,3679
TE-AZ-51,TE,AZ,51,TE-AZ-051,0,,,,,,,2186.07,517,2585,0,0,0,,Upper Piedmont,Shallow,,,,Deep,,,,,,,Grazing & Agri,,530,14,25,,,,,7524,,TRUE,,,,,,,,,,,245,0,0,,HC,,Sm Disp Village,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,,2186,517,2186070,517000,3680
TE-AZ-52,TE,AZ,52,TE-AZ-052,0,,,,,,,2186.4,516,2520,0,0,0,,Upper Piedmont,Very Shallow,,,,Deep,,,,,,,Grazing & Agri,,540,2.2,0,,,,,,,FALSE,,,,,,,,,,,42,0,0,,HC,,Hamlet,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,,2186,516,2186400,516000,3681
TE-AZ-53,TE,AZ,53,TE-AZ-053,0,,,,,,,2188.08,516,2453,0,0,0,,Middle Piedmont,Shallow,,,,Moderate,,,,,,,Grazing & Agri,,540,5.6,0,,,,,,,FALSE,,,,,,,,,,,42,0,0,,HC,,Hamlet,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,4,,2188,516,2188080,516000,3682
TE-AZ-54,TE,AZ,54,TE-AZ-054,0,,,,,,,2188.68,516,2427,0,0,0,,Middle Piedmont,Unknown,,,,Unknown,,,,,,,Agricultural,,540,7.9,0,,,,,,,FALSE,,,,,,,,,,,105,0,0,,HC,,Sm Disp Village,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,,2189,516,2188680,516000,3683
TE-AZ-55,TE,AZ,55,TE-AZ-055,0,,,,,,,2188.95,515,2420,0,0,0,,Middle Piedmont,Shallow-Medium,,,,Moderate,,,,,,,Agricultural,,540,8.7,6,,,,,,,TRUE,,,,,,,,,,,105,0,0,,AD,,Sm Disp Village,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,4,,2189,515,2188950,515000,3684
TE-AZ-56,TE,AZ,56,TE-AZ-056,0,,,,,,,2174.71,526,2428,0,0,0,,Middle Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,"Graz, Agri, & Set",,640,52,10,,,,,9000,,FALSE,,,,,,,,,,,140,0,0,,AD,,Sm Disp Village,0,0,0,0,0,4,0,1,1,1,1,1,0,0,0,0,4,,2175,526,2174710,526000,3685
TE-AZ-57,TE,AZ,57,TE-AZ-057,0,,,,,,,2174.39,525,2423,0,0,0,,Middle Piedmont,Very Shallow,,,,Moderate-Deep,,,,,,,"Graz, Agri, & Set",,640,161,28,,,,,24475,,TRUE,,,,,,,,,,,350,0,0,,AD,,Sm Disp Village,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,4,,2174,525,2174390,525000,3686
