Name,Year,Age,Status,AgeStatus,T,M,F
Ciudad Guanajuato,1790,0_6,Casados,Casados_0_6,0,0,0
Ciudad Guanajuato,1790,7_15,Casados,Casados_7_15,1678,808,870
Ciudad Guanajuato,1790,16_24,Casados,Casados_16_24,1884,908,976
Ciudad Guanajuato,1790,25_39,Casados,Casados_25_39,1506,706,800
Ciudad Guanajuato,1790,40_49,Casados,Casados_40_49,1714,806,908
Ciudad Guanajuato,1790,50_up,Casados,Casados_50_up,1623,810,813
Ciudad Guanajuato,1790,Total,Viudos,Viudos_Total,5442,2604,2838
Ciudad Guanajuato,1790,0_6,Viudos,Viudos_0_6,0,0,0
Ciudad Guanajuato,1790,7_15,Viudos,Viudos_7_15,774,389,385
Ciudad Guanajuato,1790,16_24,Viudos,Viudos_16_24,500,250,250
Ciudad Guanajuato,1790,25_39,Viudos,Viudos_25_39,1254,608,646
Ciudad Guanajuato,1790,40_49,Viudos,Viudos_40_49,1791,856,935
Ciudad Guanajuato,1790,50_up,Viudos,Viudos_50_up,1123,501,622
Merida,1790,Total,Pop,Pop_Total,364022,180579,183443
Merida,1790,0_6,Pop,Pop_0_6,107097,57010,50087
Merida,1790,7_15,Pop,Pop_7_15,58577,28835,29742
Merida,1790,16_24,Pop,Pop_16_24,69159,34680,34479
Merida,1790,25_39,Pop,Pop_25_39,63143,30669,32474
Merida,1790,40_49,Pop,Pop_40_49,38038,16867,21171
Merida,1790,50_up,Pop,Pop_50_up,28008,12518,15490
Merida,1790,Total,Solteros,Solteros_Total,199814,103202,96612
Merida,1790,0_6,Solteros,Solteros_0_6,107097,57010,50087
Merida,1790,7_15,Solteros,Solteros_7_15,48058,24721,23337
Merida,1790,16_24,Solteros,Solteros_16_24,15984,8105,7879
Merida,1790,25_39,Solteros,Solteros_25_39,15831,7729,8102
Merida,1790,40_49,Solteros,Solteros_40_49,7378,3261,4117
Merida,1790,50_up,Solteros,Solteros_50_up,5466,2376,3090
Merida,1790,Total,Casados,Casados_Total,146387,73339,73048
Merida,1790,0_6,Casados,Casados_0_6,0,0,0
Merida,1790,7_15,Casados,Casados_7_15,10423,4114,6309
Merida,1790,16_24,Casados,Casados_16_24,50701,26182,24519
Merida,1790,25_39,Casados,Casados_25_39,42569,22262,20307
Merida,1790,40_49,Casados,Casados_40_49,25276,12274,13002
Merida,1790,50_up,Casados,Casados_50_up,17418,8507,8911
Merida,1790,Total,Viudos,Viudos_Total,17821,4038,13783
Merida,1790,0_6,Viudos,Viudos_0_6,0,0,0
Merida,1790,7_15,Viudos,Viudos_7_15,96,0,96
Merida,1790,16_24,Viudos,Viudos_16_24,2474,393,2081
Merida,1790,25_39,Viudos,Viudos_25_39,4743,678,4065
Merida,1790,40_49,Viudos,Viudos_40_49,5384,1332,4052
