ID,ID_orig,Name,Phase,Type,Subtype,Collection,Tracing,East,North,Region,SurvReg,Reg
866,866,Tl. 848,A,Structure,Tlatel,,,523527.8595,2165372.668,Texcoco I,TX,TX-I
866,866,Tl. 848,A,Structure,Tlatel,,,523527.8595,2165372.668,Texcoco I,TX,TX-I
776,776,Tl. 849,A,Structure,Tlatel,,,523462.7355,2165431.149,Texcoco I,TX,TX-I
776,776,Tl. 849,A,Structure,Tlatel,,,523462.7355,2165431.149,Texcoco I,TX,TX-I
544,544,Tl. 85,,Structure,Tlatel,,,516999.42,2152818.139,Texcoco II,TX,TX-II
1008,1008,Tl. 85,,Structure,Tlatel,,,515603.5855,2164418.005,Texcoco I,TX,TX-I
1008,1008,Tl. 85,,Structure,Tlatel,,,515603.5855,2164418.005,Texcoco I,TX,TX-I
1724,1746,Tl. 85,Tol-Az,Structure,Tlatel,,,502557.269,2144564.374,Texcoco III,TX,TX-III
787,787,Tl. 850,A,Structure,Tlatel,,,523388.0025,2165373.092,Texcoco I,TX,TX-I
787,787,Tl. 850,A,Structure,Tlatel,,,523388.0025,2165373.092,Texcoco I,TX,TX-I
788,788,Tl. 851,A,Structure,Tlatel,,,523407.1795,2165403.225,Texcoco I,TX,TX-I
788,788,Tl. 851,A,Structure,Tlatel,,,523407.1795,2165403.225,Texcoco I,TX,TX-I
786,786,Tl. 852,A,Structure,Tlatel,,,523335.52,2165342.56,Texcoco I,TX,TX-I
786,786,Tl. 852,A,Structure,Tlatel,,,523335.52,2165342.56,Texcoco I,TX,TX-I
783,783,Tl. 853,A,Structure,Tlatel,,,523312.4385,2165355.93,Texcoco I,TX,TX-I
783,783,Tl. 853,A,Structure,Tlatel,,,523312.4385,2165355.93,Texcoco I,TX,TX-I
785,785,Tl. 854,A,Structure,Tlatel,,,523349.566,2165318.063,Texcoco I,TX,TX-I
785,785,Tl. 854,A,Structure,Tlatel,,,523349.566,2165318.063,Texcoco I,TX,TX-I
784,784,Tl. 855,A,Structure,Tlatel,,,523309.8935,2165269.321,Texcoco I,TX,TX-I
784,784,Tl. 855,A,Structure,Tlatel,,,523309.8935,2165269.321,Texcoco I,TX,TX-I
867,867,Tl. 856,A,Structure,Tlatel,,,523553.765,2165344.297,Texcoco I,TX,TX-I
867,867,Tl. 856,A,Structure,Tlatel,,,523553.765,2165344.297,Texcoco I,TX,TX-I
868,868,Tl. 857,A,Structure,Tlatel,,,523547.7205,2165327.065,Texcoco I,TX,TX-I
868,868,Tl. 857,A,Structure,Tlatel,,,523547.7205,2165327.065,Texcoco I,TX,TX-I
781,781,Tl. 858,A,Structure,Tlatel,,,523557.828,2165364.854,Texcoco I,TX,TX-I
781,781,Tl. 858,A,Structure,Tlatel,,,523557.828,2165364.854,Texcoco I,TX,TX-I
780,780,Tl. 859,A,Structure,Tlatel,,,523597.047,2165367.425,Texcoco I,TX,TX-I
780,780,Tl. 859,A,Structure,Tlatel,,,523597.047,2165367.425,Texcoco I,TX,TX-I
1007,1007,Tl. 86,,Structure,Tlatel,,,515335.6075,2164066.732,Texcoco I,TX,TX-I
1007,1007,Tl. 86,,Structure,Tlatel,,,515335.6075,2164066.732,Texcoco I,TX,TX-I
1669,1691,Tl. 86,AZ-F,Structure,Tlatel,,,517599.1655,2153215.682,Texcoco II,TX,TX-II
1723,1745,Tl. 86,Tol-Az,Structure,Tlatel,,,502649.7755,2144586.971,Texcoco III,TX,TX-III
779,779,Tl. 860,A,Structure,Tlatel,,,523576.0585,2165385.392,Texcoco I,TX,TX-I
779,779,Tl. 860,A,Structure,Tlatel,,,523576.0585,2165385.392,Texcoco I,TX,TX-I
778,778,Tl. 861,A,Structure,Tlatel,,,523663.254,2165374.963,Texcoco I,TX,TX-I
778,778,Tl. 861,A,Structure,Tlatel,,,523663.254,2165374.963,Texcoco I,TX,TX-I
764,764,Tl. 862,A,Structure,Tlatel,,,523711.7495,2165506.334,Texcoco I,TX,TX-I
764,764,Tl. 862,A,Structure,Tlatel,,,523711.7495,2165506.334,Texcoco I,TX,TX-I
756,756,Tl. 863,A,Structure,Tlatel,,,523865.9255,2165643.901,Texcoco I,TX,TX-I
756,756,Tl. 863,A,Structure,Tlatel,,,523865.9255,2165643.901,Texcoco I,TX,TX-I
765,765,Tl. 864,A,Structure,Tlatel,,,523894.775,2165428.506,Texcoco I,TX,TX-I
765,765,Tl. 864,A,Structure,Tlatel,,,523894.775,2165428.506,Texcoco I,TX,TX-I
869,869,Tl. 865,A,Structure,Tlatel,,,523629.5905,2165228.942,Texcoco I,TX,TX-I
869,869,Tl. 865,A,Structure,Tlatel,,,523629.5905,2165228.942,Texcoco I,TX,TX-I
1418,1440,Tl. 866,A,Structure,Tlatel,,,514180.263,2165682.286,Texcoco I,TX,TX-I
1418,1440,Tl. 866,A,Structure,Tlatel,,,514180.263,2165682.286,Texcoco I,TX,TX-I
1419,1441,Tl. 867,A,Structure,Tlatel,,,514249.816,2165580.338,Texcoco I,TX,TX-I
1419,1441,Tl. 867,A,Structure,Tlatel,,,514249.816,2165580.338,Texcoco I,TX,TX-I
1420,1442,Tl. 868,A,Structure,Tlatel,,,514241.587,2165403.408,Texcoco I,TX,TX-I
1420,1442,Tl. 868,A,Structure,Tlatel,,,514241.587,2165403.408,Texcoco I,TX,TX-I
1009,1009,Tl. 87,,Structure,Tlatel,,,515600.6185,2165189.495,Texcoco I,TX,TX-I
1009,1009,Tl. 87,,Structure,Tlatel,,,515600.6185,2165189.495,Texcoco I,TX,TX-I
1670,1692,Tl. 87,AZ-F,Structure,Tlatel,,,517763.262,2153138.684,Texcoco II,TX,TX-II
1725,1747,Tl. 87,Tol-Az,Structure,Tlatel,,,502559.8325,2144497.923,Texcoco III,TX,TX-III
1003,1003,Tl. 88,,Structure,Tlatel,,,514798.263,2166254.602,Texcoco I,TX,TX-I
1003,1003,Tl. 88,,Structure,Tlatel,,,514798.263,2166254.602,Texcoco I,TX,TX-I
1671,1693,Tl. 88,AZ-F,Structure,Tlatel,,,517836.888,2153164.789,Texcoco II,TX,TX-II
1726,1748,Tl. 88,Tol-Az,Structure,Tlatel,,,502528.762,2144424.483,Texcoco III,TX,TX-III
1437,1459,Tl. 89,,Structure,Tlatel,,,512372.5505,2157197.748,Texcoco II,TX,TX-II
1518,1540,Tl. 9,,Structure,Tlatel,,,519864.996,2154850.569,Texcoco II,TX,TX-II
1958,1980,Tl. 9,A,Structure,Tlatel,,,517844.734,2140501.148,Ixtapalapa,IX,IX
3182,137,Tl. 9,,Structure,Tlatel,TRUE,Map_2,507886.8515,2130327.487,Chalco,CH,CH
1015,1015,Tl. 90,,Structure,Tlatel,,,514847.435,2167936.184,Texcoco I,TX,TX-I
1015,1015,Tl. 90,,Structure,Tlatel,,,514847.435,2167936.184,Texcoco I,TX,TX-I
1438,1460,Tl. 90,,Structure,Tlatel,,,512476.869,2157189.28,Texcoco II,TX,TX-II
1727,1749,Tl. 90,Tol-Az,Structure,Tlatel,,,502595.707,2144426.765,Texcoco III,TX,TX-III
1013,1013,Tl. 91,,Structure,Tlatel,,,515642.4235,2166560.537,Texcoco I,TX,TX-I
1013,1013,Tl. 91,,Structure,Tlatel,,,515642.4235,2166560.537,Texcoco I,TX,TX-I
1439,1461,Tl. 91,,Structure,Tlatel,,,512450.807,2157137.897,Texcoco II,TX,TX-II
1012,1012,Tl. 92,,Structure,Tlatel,,,515631.272,2166387.446,Texcoco I,TX,TX-I
1012,1012,Tl. 92,,Structure,Tlatel,,,515631.272,2166387.446,Texcoco I,TX,TX-I
1440,1462,Tl. 92,,Structure,Tlatel,,,513190.027,2158049.029,Texcoco II,TX,TX-II
1728,1750,Tl. 92,Tol-Az,Structure,Tlatel,,,502728.3685,2144372.698,Texcoco III,TX,TX-III
1010,1010,Tl. 93,,Structure,Tlatel,,,515711.31,2166236.816,Texcoco I,TX,TX-I
1010,1010,Tl. 93,,Structure,Tlatel,,,515711.31,2166236.816,Texcoco I,TX,TX-I
